sigla,nome_munic,geocodig_m,imoveis_car,area_car
BA,Riachão Do Jacuípe,2926301,1743,27612.9891
BA,Riacho De Santana,2926400,4865,142275.9656
BA,Ribeira Do Amparo,2926509,936,14180.3376
BA,Ribeira Do Pombal,2926608,3570,22093.7662
BA,Ribeirão Do Largo,2926657,847,58647.733
BA,Rio De Contas,2926707,1558,32488.5832
BA,Rio Do Antônio,2926806,2785,35105.9875
BA,Rio Do Pires,2926905,702,9486.2254
BA,Rio Real,2927002,2247,29614.7239
BA,Rodelas,2927101,171,10204.2634
BA,Ruy Barbosa,2927200,748,54160.8382
BA,Salinas Da Margarida,2927309,16,1487.0211
BA,Salvador,2927408,52,8.829
BA,Santa Bárbara,2927507,1270,4256.2785
BA,Santa Brígida,2927606,2301,28002.3475
BA,Santa Cruz Cabrália,2927705,379,91516.808
BA,Santa Cruz Da Vitória,2927804,193,10444.5964
BA,Santa Inês,2927903,39,9745.9853
BA,Santaluz,2928000,1964,57342.2781
BA,Santa Luzia,2928059,158,12257.7976
BA,Santa Maria Da Vitória,2928109,1899,65240.1008
BA,Santana,2928208,1128,73250.8063
BA,Santanópolis,2928307,609,2291.493
BA,Santa Rita De Cássia,2928406,2896,260380.2031
BA,Santa Terezinha,2928505,1693,20441.0708
BA,Santo Amaro,2928604,260,10165.8732
BA,Santo Antônio De Jesus,2928703,3012,9579.0486
BA,Santo Estêvão,2928802,2428,5655.4555
BA,São Desidério,2928901,5488,1241506.8321
BA,São Domingos,2928950,524,6583.1598
BA,São Felipe,2929107,998,4810.6824
BA,São Félix,2929008,61,844.1663
BA,São Félix Do Coribe,2929057,560,62913.9375
BA,São Francisco Do Conde,2929206,25,4774.234
BA,São Gabriel,2929255,2426,32840.3376
BA,São Gonçalo Dos Campos,2929305,255,1451.3274
BA,São José Da Vitória,2929354,55,2113.7762
BA,São José Do Jacuípe,2929370,735,8176.5137
BA,São Miguel Das Matas,2929404,1786,10782.6554
BA,São Sebastião Do Passé,2929503,123,13889.1115
BA,Sapeaçu,2929602,1319,4935.5002
BA,Sátiro Dias,2929701,1822,26503.6743
BA,Saubara,2929750,5,606.3482
BA,Saúde,2929800,618,9853.8262
BA,Seabra,2929909,2056,32194.5084
BA,Sebastião Laranjeiras,2930006,1043,93232.7802
BA,Senhor Do Bonfim,2930105,762,13081.1845
BA,Sento Sé,2930204,1971,428490.262
BA,Serra Do Ramalho,2930154,2631,84767.8351
BA,Serra Dourada,2930303,1355,58287.4235
BA,Serra Preta,2930402,1323,17232.309
BA,Serrinha,2930501,2302,6643.2646
BA,Serrolândia,2930600,455,4523.057
BA,Simões Filho,2930709,51,1548.9392
BA,Sítio Do Mato,2930758,353,80256.6206
BA,Sítio Do Quinto,2930766,1474,15798.1846
BA,Sobradinho,2930774,713,28924.4985
BA,Souto Soares,2930808,1682,21670.5959
BA,Tabocas Do Brejo Velho,2930907,1136,61223.797
BA,Tanhaçu,2931004,1569,34920.2932
BA,Tanque Novo,2931053,1450,13050.3442
BA,Tanquinho,2931103,274,3456.072
BA,Taperoá,2931202,757,7786.0409
BA,Tapiramutá,2931301,415,26038.4372
BA,Teixeira De Freitas,2931350,654,62972.3936
BA,Teodoro Sampaio,2931400,214,6905.3487
BA,Teofilândia,2931509,3226,10390.443
BA,Teolândia,2931608,478,5727.4677
BA,Terra Nova,2931707,120,6673.3532
BA,Tremedal,2931806,1916,56599.5037
BA,Tucano,2931905,5684,88393.8036
BA,Uauá,2932002,1762,40285.182
BA,Ubaíra,2932101,98,10359.1459
BA,Ubaitaba,2932200,30,2063.6619
BA,Ubatã,2932309,142,3493.0343
BA,Uibaí,2932408,1845,16302.7699
BA,Umburanas,2932457,405,15014.8537
BA,Una,2932507,188,22677.1348
BA,Urandi,2932606,1630,38311.3641
